date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:45	55929/55929	---M-Z	200	added ('OK')	text/html	etag:W/%22618e9df7-da79%22	https://validtemplates.github.io/clinicom/index-1.html	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/index-1.html	(from )
21:39:45	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://validtemplates.github.io/robots.txt		(from )
21:39:45	3331/3331	---M--	200	added ('OK')	image/png	etag:%22618e9df7-d03%22	https://validtemplates.github.io/clinicom/assets/img/favicon.png	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/img/favicon.png	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:45	159515/159515	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-26f1b%22	https://validtemplates.github.io/clinicom/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/bootstrap.min.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:46	45633/45633	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-b241%22	https://validtemplates.github.io/clinicom/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/font-awesome.min.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:46	16450/16450	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-4042%22	https://validtemplates.github.io/clinicom/assets/css/themify-icons.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/themify-icons.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:46	3849/3849	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-f09%22	https://validtemplates.github.io/clinicom/assets/css/flaticon-set.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/flaticon-set.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:46	6951/6951	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-1b27%22	https://validtemplates.github.io/clinicom/assets/css/magnific-popup.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/magnific-popup.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:46	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-b78%22	https://validtemplates.github.io/clinicom/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/owl.carousel.min.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:47	936/936	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-3a8%22	https://validtemplates.github.io/clinicom/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/owl.theme.default.min.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:47	69727/69727	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-1105f%22	https://validtemplates.github.io/clinicom/assets/css/animate.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/animate.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:47	70689/70689	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-11421%22	https://validtemplates.github.io/clinicom/assets/css/bootsnav.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/bootsnav.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:47	127109/127109	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-1f085%22	https://validtemplates.github.io/clinicom/style.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/style.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:48	23781/23781	---M-Z	200	added ('OK')	text/css	etag:W/%22618e9df7-5ce5%22	https://validtemplates.github.io/clinicom/assets/css/responsive.css	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/css/responsive.css	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:48	8690/8690	---M-Z	200	added ('OK')	text/html	etag:W/%22618e9df7-21f2%22	https://validtemplates.github.io/clinicom/index.html	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/index.html	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:48	4093/4093	---M--	200	added ('OK')	image/png	etag:%22618e9df7-ffd%22	https://validtemplates.github.io/clinicom/assets/img/logo-light.png	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/img/logo-light.png	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:48	8246/8246	---M--	200	added ('OK')	image/png	etag:%22618e9df7-2036%22	https://validtemplates.github.io/clinicom/assets/img/logo.png	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/assets/img/logo.png	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:49	55361/55361	---M-Z	200	added ('OK')	text/html	etag:W/%22618e9df7-d841%22	https://validtemplates.github.io/clinicom/index-2.html	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/index-2.html	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:49	64321/64321	---M-Z	200	added ('OK')	text/html	etag:W/%22618e9df7-fb41%22	https://validtemplates.github.io/clinicom/index-3.html	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/index-3.html	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:50	52039/52039	---M-Z	200	added ('OK')	text/html	etag:W/%22618e9df7-cb47%22	https://validtemplates.github.io/clinicom/index-4.html	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/index-4.html	(from https://validtemplates.github.io/clinicom/index-1.html)
21:39:50	56513/56513	---M-Z	200	added ('OK')	text/html	etag:W/%22618e9df7-dcc1%22	https://validtemplates.github.io/clinicom/index-5.html	C:/My%20Web%20Sites/php-project/validtemplates.github.io/clinicom/index-5.html	(from https://validtemplates.github.io/clinicom/index-1.html)
